Zip Code,Dog Name,Animal Gender
10312,MOOSE,M
10305,BELLE,F
10314,LOLA,F
10014,PARIFAL,M
11101,SASHA,F
10021,ZEV,M
10028,SKIPPER,M
11364,BABY,F
10028,KELLY,F
11234,BEAUTY,F
10022,SNOWBALL,F
11357,BOSCO,M
10465,BAILEY,F
10011,BOO,M
10017,EBONY,F
11358,JOEY,M
10306,APRIL,F
11372,JORDAN,M
10128,MACDUFF,M
11201,GINGER,F
11238,CAPELLA,F
11229,LULU,F
10021,HULA,F
11421,CODY,M
11230,FLUFFY,F
10003,HUDSON,M
10301,TIKA,F
10033,SACHI,F
10031,VERUCA,F
11385,SABRINA,F
10453,KUKI,F
11374,DALLAS,F
10028,GINGERY'S,M
11201,DASHIELL,M
10002,XENA,F
10011,CHARLIE,M
10017,REX,M
10014,REMA,M
11375,JAZZ,M
10027,ULYSSES,M
10021,ABBY,F
10002,OREO,M
10462,PRINCESS,F
11358,POKIE,M
11215,JULIUS,M
10307,BIANCA,F
11378,TRIXIE,F
11229,STELLINA,F
10308,BELLA,F
11428,C-K,M
11234,OREO,F
10010,POSIE,F
10312,NAME NOT PROVIDED,F
10306,PRINCESS,F
10308,DALLAS,M
10312,GEORGE,M
11218,KRYSTAL,F
10010,LUCY,F
11234,LULU,F
10128,TALULLAH,F
10014,BANDIT,M
10473,MISTIE,F
10469,BRUISER,M
10012,HUDSON,F
11357,GYPSY,F
10312,NAME NOT PROVIDED,F
11375,SHANA,F
11375,POOKIE,M
